attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,Label
0,99,1,0,0,0,0,0,Class_5
0,97,3,0,0,0,0,0,Class_5
0,96,1,1,2,0,0,0,Class_5
0,97,2,0,1,0,0,0,Class_5
0,100,0,0,0,0,0,0,Class_5
0,98,2,0,0,0,0,0,Class_5
0,98,2,0,0,0,0,0,Class_5
0,100,0,0,0,0,0,0,Class_5
0,99,1,0,0,0,0,0,Class_5
0,100,0,0,0,0,0,0,Class_5
0,99,0,1,0,0,0,0,Class_5
0,99,1,0,0,0,0,0,Class_5
0,99,1,0,0,0,0,0,Class_5
0,100,0,0,0,0,0,0,Class_5
0,99,1,0,0,0,0,0,Class_5
0,99,1,0,0,0,0,0,Class_5
0,100,0,0,0,0,0,0,Class_5
0,98,2,0,0,0,0,0,Class_5
0,95,5,0,0,0,0,0,Class_5
0,0,0,0,7,93,0,0,Class_6
0,0,0,0,9,91,0,0,Class_6
1,0,0,0,8,91,0,0,Class_6
0,0,0,0,4,96,0,0,Class_6
0,0,0,0,5,95,0,0,Class_6
0,0,0,0,6,94,0,0,Class_6
0,0,0,0,8,92,0,0,Class_6
0,0,0,0,5,95,0,0,Class_6
1,0,0,0,5,94,0,0,Class_6
0,0,0,0,6,94,0,0,Class_6
0,0,2,0,7,91,0,0,Class_6
0,0,0,0,11,89,0,0,Class_6
0,0,0,0,3,97,0,0,Class_6
0,0,0,0,1,99,0,0,Class_6
0,0,0,0,5,95,0,0,Class_6
0,0,0,0,3,97,0,0,Class_6
0,0,0,0,3,97,0,0,Class_6
0,0,0,0,7,93,0,0,Class_6
1,0,0,0,9,90,0,0,Class_6
0,0,0,0,2,98,0,0,Class_6
0,0,0,0,5,95,0,0,Class_6
3,0,0,0,5,92,0,0,Class_6
0,0,2,0,2,96,0,0,Class_6
0,0,1,0,7,92,0,0,Class_6
0,0,0,0,3,97,0,0,Class_6
0,0,0,0,5,95,0,0,Class_6
0,0,0,0,5,95,0,0,Class_6
0,0,0,0,1,99,0,0,Class_6
0,0,1,0,4,95,0,0,Class_6
1,0,0,0,8,91,0,0,Class_6
